,ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,Parking box count,Municipality,Province
0,11149965,Waremme,4300,1974,3.0,115.0,,APARTMENT,APARTMENT,220000,NORMAL_SALE,3.0,1.0,2.0,6.0,False,10.0,,False,False,,True,,,False,,,False,GOOD,34.0,C,187.0,1194,False,BUY_REGULAR,FUELOIL,,,,,1.0,1.0,,WAREMME,LUIK
1,11149932,Wetteren,9230,2015,3.0,134.0,,APARTMENT,DUPLEX,339000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,,INSTALLED,False,False,,True,,,True,180.0,,False,GOOD,30.0,B,113.0,0,False,BUY_REGULAR,GAS,,,,,,1.0,,WETTEREN,OOST-VLAANDEREN
2,11150061,Ixelles,1050,1958,2.0,134.0,,APARTMENT,APARTMENT,495000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,8.0,INSTALLED,False,False,,True,12.0,,False,,,False,GOOD,40.0,D,202.0,0,False,BUY_REGULAR,GAS,,,,,,,,ELSENE,BRUSSEL
3,11153822,BERCHEM,2600,1968,2.0,90.0,,APARTMENT,APARTMENT,175000,NORMAL_SALE,2.0,1.0,1.0,4.0,True,9.0,INSTALLED,False,False,,True,7.0,,False,,,,GOOD,37.0,B,124.0,986,,BUY_REGULAR,,,,,,,1.0,,ANTWERPEN,ANTWERPEN
4,11153121,Jette,1090,1965,2.0,80.0,,APARTMENT,APARTMENT,289000,NORMAL_SALE,3.0,1.0,1.0,5.0,True,9.0,INSTALLED,False,False,,True,2.0,,False,,,False,GOOD,30.0,G,383.0,1051,False,BUY_REGULAR,,,,,,,,,JETTE,BRUSSEL
5,11156330,Brasschaat,2930,1996,2.0,315.0,,APARTMENT,PENTHOUSE,995000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,,HYPER_EQUIPPED,True,True,-1.0,True,40.0,,False,,,,AS_NEW,,B,192.0,2946,False,BUY_REGULAR,,,,,,2.0,,,BRASSCHAAT,ANTWERPEN
6,11139208,Anderlecht,1070,1966,2.0,76.0,,APARTMENT,APARTMENT,171717,NORMAL_SALE,2.0,1.0,1.0,4.0,True,,SEMI_EQUIPPED,False,False,,True,6.0,,False,,,False,TO_RENOVATE,36.0,F,326.0,1021,False,BUY_REGULAR,GAS,,,,,,,,ANDERLECHT,BRUSSEL
7,9887762,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
8,9887763,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
9,9887764,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
10,9887767,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
11,9887769,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
12,9887765,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
13,9887768,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
14,9887766,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
15,9887771,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
16,9887772,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
17,9887775,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
18,9887770,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
19,9887778,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
20,9887781,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
21,9887786,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
22,9887779,Brussels City,1000,,,29.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
23,9887780,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
24,9887784,Brussels City,1000,,,23.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
25,9887782,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
26,9887783,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
27,9887785,Brussels City,1000,,,22.0,,APARTMENT,APARTMENT,230500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
28,9887788,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,237500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
29,9887789,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,237500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
30,9887787,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,237500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
31,9887793,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,244500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
32,9887791,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,244500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
33,9887792,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,244500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
34,9887794,Brussels City,1000,,,31.0,,APARTMENT,APARTMENT,255000,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
35,9887795,Brussels City,1000,,,26.0,,APARTMENT,APARTMENT,265500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
36,9887796,Brussels City,1000,,,29.0,,APARTMENT,APARTMENT,265500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
