Price,Facades,Habitable Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,State of Building,Living Surface,EPC,Consumption Per m2,Municipality,Province,APARTMENT,HOUSE
175000,2.0,90.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,7.0,3.0,37.0,5.0,124.0,ANTWERPEN,ANTWERPEN,1,0
249000,2.0,83.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,2.0,3.0,41.0,5.0,188.0,MORTSEL,ANTWERPEN,1,0
265000,3.0,82.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,42.0,5.0,196.69760259179267,HERENTHOUT,ANTWERPEN,1,0
269000,3.0,82.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,8.0,3.0,35.0,5.0,196.69760259179267,HERENTHOUT,ANTWERPEN,1,0
299000,3.0,94.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,13.0,3.0,29.0,5.0,196.69760259179267,HERENTHOUT,ANTWERPEN,1,0
308000,3.0,95.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,19.0,3.0,31.0,5.0,196.69760259179267,HERENTHOUT,ANTWERPEN,1,0
319500,2.0,96.0,APARTMENT,2.0,1.0,2.0,5.0,1.0,0,1,24.0,3.0,35.20338983050848,5.0,196.69760259179267,BERLAAR,ANTWERPEN,1,0
529000,2.0,155.0,APARTMENT,2.0,2.0,2.0,6.0,3.0,0,1,15.0,5.0,35.20338983050848,6.0,79.0,BRASSCHAAT,ANTWERPEN,1,0
205000,2.0,49.0,APARTMENT,1.0,1.0,1.0,2.0,1.0,1,1,29.0,5.0,35.20338983050848,4.0,268.0,ANTWERPEN,ANTWERPEN,1,0
379000,2.0,110.0,APARTMENT,2.0,1.0,2.0,5.0,3.0,0,1,8.0,5.0,30.0,6.0,31.0,ARENDONK,ANTWERPEN,1,0
279900,2.0,73.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,0,17.79706877113867,3.0,36.0,5.0,184.0,ANTWERPEN,ANTWERPEN,1,0
232900,2.0,77.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,14.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
232900,2.0,65.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,17.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
234900,2.0,78.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,14.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
