Price,Build Year,Facades,Habitable Surface,Land Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen Type,Furnished,Fireplace Count,Terrace,Terrace Surface,Garden Surface,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Sea view,Parking count inside,Parking count outside,Municipality,Province
220000,1974,3.0,115.0,,APARTMENT,3.0,1.0,2.0,6.0,10.0,,0,,1,,,False,GOOD,34.0,C,187.0,,1.0,1.0,WAREMME,LUIK
339000,2015,3.0,134.0,,APARTMENT,3.0,1.0,2.0,6.0,,INSTALLED,0,,1,,180.0,False,GOOD,30.0,B,113.0,,,1.0,WETTEREN,OOST-VLAANDEREN
495000,1958,2.0,134.0,,APARTMENT,2.0,1.0,2.0,5.0,8.0,INSTALLED,0,,1,12.0,,False,GOOD,40.0,D,202.0,,,,ELSENE,BRUSSEL
175000,1968,2.0,90.0,,APARTMENT,2.0,1.0,1.0,4.0,9.0,INSTALLED,0,,1,7.0,,,GOOD,37.0,B,124.0,,,1.0,ANTWERPEN,ANTWERPEN
289000,1965,2.0,80.0,,APARTMENT,3.0,1.0,1.0,5.0,9.0,INSTALLED,0,,1,2.0,,False,GOOD,30.0,G,383.0,,,,JETTE,BRUSSEL
995000,1996,2.0,315.0,,APARTMENT,2.0,1.0,2.0,5.0,,HYPER_EQUIPPED,1,-1.0,1,40.0,,,AS_NEW,,B,192.0,,2.0,,BRASSCHAAT,ANTWERPEN
171717,1966,2.0,76.0,,APARTMENT,2.0,1.0,1.0,4.0,,SEMI_EQUIPPED,0,,1,6.0,,False,TO_RENOVATE,36.0,F,326.0,,,,ANDERLECHT,BRUSSEL
195500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
195500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
216500,,,24.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
