Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
0612,Sinterklaas,,Sinterklaas,
1000,Brussel,Neen,BRUSSEL,BRUSSEL
1005,Verenigde Vergadering van de Gemeenschappelijke ,,Verenigde Vergadering van de Gemeenschappelijke ,
1006,Raad van de Vlaamse Gemeenschapscommissie,,Raad van de Vlaamse Gemeenschapscommissie,
1007,Assemblée de la Commission Communautaire Française,,Assemblée de la Commission Communautaire Française,
1008,Kamer van Volksvertegenwoordigers,,Kamer van Volksvertegenwoordigers,
1009,Belgische Senaat,,Belgische Senaat,
1011,Vlaams Parlement,,Vlaams Parlement,
1012,Parlement de la communauté française,,Parlement de la communauté française,
1020,Laken,Ja,BRUSSEL,BRUSSEL
1030,Schaarbeek,Neen,SCHAARBEEK,BRUSSEL
1031,Christelijke Sociale Organisaties,,Christelijke Sociale Organisaties,
1033,RTL-TVI,,RTL-TVI,
1035,Ministerie van het Brussels Hoofdstedelijk Gewest,,Ministerie van het Brussels Hoofdstedelijk Gewest,
1040,Etterbeek,Neen,ETTERBEEK,BRUSSEL
1041,International press center,,International press center,
1043,VRT,,VRT,
1044,RTBF,,RTBF,
1046,European External Action Service,,European External Action Service,
1047,Europees Parlement,,Europees Parlement,
1048,Europese unie - Raad,,Europese unie - Raad,
1049,Europese unie - Commissie,,Europese unie - Commissie,
1050,Elsene,Neen,ELSENE,BRUSSEL
1060,Sint-Gillis,Neen,SINT-GILLIS,BRUSSEL
1070,Anderlecht,Neen,ANDERLECHT,BRUSSEL
1080,Sint-Jans-Molenbeek,Neen,SINT-JANS-MOLENBEEK,BRUSSEL
1081,Koekelberg,Neen,KOEKELBERG,BRUSSEL
1082,Sint-Agatha-Berchem,Neen,SINT-AGATHA-BERCHEM,BRUSSEL
1083,Ganshoren,Neen,GANSHOREN,BRUSSEL
1090,Jette,Neen,JETTE,BRUSSEL
1099,Brussel X,,Brussel X,
1100,Postcheque,,Postcheque,
1101,Scanning,,Scanning,
1105,ACTISOC,,ACTISOC,
1110,NATO,,NATO,
1120,Neder-Over-Heembeek,Ja,BRUSSEL,BRUSSEL
1130,Haren,Ja,BRUSSEL,BRUSSEL
1140,Evere,Neen,EVERE,BRUSSEL
1150,Sint-Pieters-Woluwe,Neen,SINT-PIETERS-WOLUWE,BRUSSEL
1160,Oudergem,Neen,OUDERGEM,BRUSSEL
1170,Watermaal-Bosvoorde,Neen,WATERMAAL-BOSVOORDE,BRUSSEL
1180,Ukkel,Neen,UKKEL,BRUSSEL
1190,Vorst,Neen,VORST,BRUSSEL
1200,Sint-Lambrechts-Woluwe,Neen,SINT-LAMBRECHTS-WOLUWE,BRUSSEL
1210,Sint-Joost-ten-Node,Neen,SINT-JOOST-TEN-NODE,BRUSSEL
1212,FOD Mobiliteit,,FOD Mobiliteit,
1300,Limal,Ja,WAVRE,WAALS-BRABANT
1300,Wavre,Neen,WAVRE,WAALS-BRABANT
1301,Bierges,Ja,WAVRE,WAALS-BRABANT
1310,La Hulpe,Neen,LA HULPE,WAALS-BRABANT
1315,Glimes,Ja,INCOURT,WAALS-BRABANT
1315,Incourt,Neen,INCOURT,WAALS-BRABANT
1315,Opprebais,Ja,INCOURT,WAALS-BRABANT
1315,Piétrebais,Ja,INCOURT,WAALS-BRABANT
1315,Roux-Miroir,Ja,INCOURT,WAALS-BRABANT
1320,Beauvechain,Neen,BEAUVECHAIN,WAALS-BRABANT
1320,Hamme-Mille,Ja,BEAUVECHAIN,WAALS-BRABANT
1320,l'Écluse,Ja,BEAUVECHAIN,WAALS-BRABANT
1320,Nodebais,Ja,BEAUVECHAIN,WAALS-BRABANT
1320,Tourinnes-la-Grosse,Ja,BEAUVECHAIN,WAALS-BRABANT
1325,Bonlez,Ja,CHAUMONT-GISTOUX,WAALS-BRABANT
1325,Chaumont-Gistoux,Neen,CHAUMONT-GISTOUX,WAALS-BRABANT
1325,Corroy-le-Grand,Ja,CHAUMONT-GISTOUX,WAALS-BRABANT
1325,Dion-Valmont,Ja,CHAUMONT-GISTOUX,WAALS-BRABANT
1325,Longueville,Ja,CHAUMONT-GISTOUX,WAALS-BRABANT
1330,Rixensart,Neen,RIXENSART,WAALS-BRABANT
1331,Rosières,Ja,RIXENSART,WAALS-BRABANT
1332,Genval,Ja,RIXENSART,WAALS-BRABANT
1340,Ottignies,Ja,OTTIGNIES-LOUVAIN-LA-NEUVE,WAALS-BRABANT
1341,Céroux-Mousty,Ja,OTTIGNIES-LOUVAIN-LA-NEUVE,WAALS-BRABANT
1342,Limelette,Ja,OTTIGNIES-LOUVAIN-LA-NEUVE,WAALS-BRABANT
1348,Louvain-la-Neuve,Ja,OTTIGNIES-LOUVAIN-LA-NEUVE,WAALS-BRABANT
1350,Enines,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Folx-les-Caves,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Jandrain-Jandrenouille,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Jauche,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Marilles,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Noduwez,Ja,ORP-JAUCHE,WAALS-BRABANT
1350,Orp-le-Grand,Ja,ORP-JAUCHE,WAALS-BRABANT
1357,Linsmeau,Ja,HÉLÉCINE,WAALS-BRABANT
1357,Neerheylissem,Ja,HÉLÉCINE,WAALS-BRABANT
1357,Opheylissem,Ja,HÉLÉCINE,WAALS-BRABANT
1360,Malèves-Sainte-Marie-Wastinnes,Ja,PERWEZ,WAALS-BRABANT
1360,Orbais,Ja,PERWEZ,WAALS-BRABANT
1360,Perwez,Neen,PERWEZ,WAALS-BRABANT
1360,Thorembais-les-Béguines,Ja,PERWEZ,WAALS-BRABANT
1360,Thorembais-Saint-Trond,Ja,PERWEZ,WAALS-BRABANT
1367,Autre-Eglise,Ja,RAMILLIES,WAALS-BRABANT
1367,Bomal,Ja,RAMILLIES,WAALS-BRABANT
1367,Geest-Gérompont-Petit-Rosière,Ja,RAMILLIES,WAALS-BRABANT
1367,Gérompont,Ja,RAMILLIES,WAALS-BRABANT
1367,Grand-Rosière-Hottomont,Ja,RAMILLIES,WAALS-BRABANT
1367,Huppaye,Ja,RAMILLIES,WAALS-BRABANT
1367,Mont-Saint-André,Ja,RAMILLIES,WAALS-BRABANT
1367,Ramillies,Neen,RAMILLIES,WAALS-BRABANT
1370,Dongelberg,Ja,JODOIGNE,WAALS-BRABANT
1370,Jauchelette,Ja,JODOIGNE,WAALS-BRABANT
1370,Jodoigne,Neen,JODOIGNE,WAALS-BRABANT
1370,Jodoigne-Souveraine,Ja,JODOIGNE,WAALS-BRABANT
1370,Lathuy,Ja,JODOIGNE,WAALS-BRABANT
1370,Mélin,Ja,JODOIGNE,WAALS-BRABANT
1370,Piétrain,Ja,JODOIGNE,WAALS-BRABANT
1370,Saint-Jean-Geest,Ja,JODOIGNE,WAALS-BRABANT
1370,Saint-Remy-Geest,Ja,JODOIGNE,WAALS-BRABANT
1370,Zétrud-Lumay,Ja,JODOIGNE,WAALS-BRABANT
1380,Couture-Saint-Germain,Ja,LASNE,WAALS-BRABANT
1380,Lasne-Chapelle-Saint-Lambert,Ja,LASNE,WAALS-BRABANT
1380,Maransart,Ja,LASNE,WAALS-BRABANT
1380,Ohain,Ja,LASNE,WAALS-BRABANT
1380,Plancenoit,Ja,LASNE,WAALS-BRABANT
1390,Archennes,Ja,GREZ-DOICEAU,WAALS-BRABANT
1390,Biez,Ja,GREZ-DOICEAU,WAALS-BRABANT
1390,Bossut-Gottechain,Ja,GREZ-DOICEAU,WAALS-BRABANT
